Period,1-Nov, 2019 -> November 30,2020,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Time,South of Vernon,Trail North of Sugar Creek,Robinson at Monroe,Trail West of Hershey,West of Grandview,Shirley,East of Shelbourne,Washington West of Vale Eastbound,Washington West of Vale Westbound,South Side Counter,South of Raab,YAI18086290,West Side Counter,Washington East of Rust Westbound,Washington East of Rust Eastbound,Grove-West of Vale (EB),Grove-West of Vale (WB),East Side Counter,Heartland CC
11/1/2019 0:00,295,268,,3935,57,1,0,,,,,,19,,,,,,16
11/2/2019 0:00,378,330,,2582,67,26,74,,,,,,56,,,,,,28
11/3/2019 0:00,509,497,,2506,133,411,7,,,,,,80,,,,,,19
11/4/2019 0:00,308,412,,2642,96,0,0,,,,,,44,,,,,,22
11/5/2019 0:00,409,401,,3877,97,78,34,,,,,,21,,,,,,19
11/6/2019 0:00,503,500,,3531,129,59,6,,,,,,47,,,,,,20
11/7/2019 0:00,217,233,,2759,37,4,7,,,,,,72,,,,,125,14
11/8/2019 0:00,186,194,,3244,41,10,2,,,9,,,15,,,,,21,5
11/9/2019 0:00,479,410,,3176,92,67,4,,,10,,,45,,,,,21,18
11/10/2019 0:00,529,519,,1950,100,136,73,,,16,,,36,,,,,87,283
11/11/2019 0:00,92,67,,545,6,0,0,,,1,,,7,,,,,0,13
11/12/2019 0:00,81,56,,3556,6,2,224,,,2,,,3,,,,,4,8
11/13/2019 0:00,115,65,,2421,6,0,0,,,2,,,8,,,,,8,7
11/14/2019 0:00,172,100,,2252,17,2,3,,,12,,,7,,,,,5,14
11/15/2019 0:00,244,168,,4274,41,6,351,,,5,,,28,,,,,8,12
11/16/2019 0:00,408,361,,3065,64,2,519,,,23,,,30,,,,,25,10
11/17/2019 0:00,256,183,,1358,31,6,0,,,8,,,9,,,,,22,8
11/18/2019 0:00,250,203,,1746,40,0,0,,,14,,,14,,,,,12,12
11/19/2019 0:00,183,159,,1288,28,0,0,,,14,,,25,,,,,6,8
11/20/2019 0:00,419,358,,2436,81,6,23,,,17,,,25,,,,,14,25
11/21/2019 0:00,245,161,,1404,45,3,0,,,9,,,15,,,,,2,9
11/22/2019 0:00,247,191,,3259,45,144,26,,,13,,,13,,,,,10,16
11/23/2019 0:00,318,207,,1778,36,0,1,,,11,,,14,,,,,12,6
11/24/2019 0:00,449,520,,2721,167,1582,5,,,27,,,34,,,,,54,10
11/25/2019 0:00,370,395,,3977,118,789,1,,,20,,,44,,,,,13,18
11/26/2019 0:00,178,162,,2053,51,2,1,,,6,,,12,,,,,2,7
11/27/2019 0:00,112,93,,1624,9,0,0,,,10,,,4,,,,,1,2
11/28/2019 0:00,200,213,,768,19,12,2,,,20,,,22,,,,,26,6
11/29/2019 0:00,222,186,,1409,28,1,1,,,8,,,17,,,,,5,3
11/30/2019 0:00,131,90,,422,12,2,0,,,0,,,11,,,,,9,4
12/1/2019 0:00,158,181,,654,19,2,0,,,19,,,12,,,,,10,3
12/2/2019 0:00,215,165,,2167,27,2,0,,,12,,,3,,,,,4,21
12/3/2019 0:00,249,196,,2860,40,52,2,,,20,,,19,,,,,10,10
12/4/2019 0:00,339,295,,4094,88,6,4,,,9,,,18,,,,,16,17
12/5/2019 0:00,403,329,,4519,97,614,4,,,29,,,28,,,,,11,22
12/6/2019 0:00,243,219,,3517,42,136,33,,,7,,,9,,,,,3,12
12/7/2019 0:00,379,383,,3776,59,23,5,,,16,,,20,,,,,11,6
12/8/2019 0:00,323,381,,1980,74,3,0,,,22,,,27,,,,,20,9
12/9/2019 0:00,250,198,,1290,42,5,19,,,8,,,11,,,,,8,9
12/10/2019 0:00,150,119,,3361,17,3,13,,,8,,,9,,,,,9,7
12/11/2019 0:00,176,148,,2987,40,24,8,,,6,,,10,,,,,8,9
12/12/2019 0:00,246,230,,3694,59,2,1,,,16,,,20,,,,,7,14
12/13/2019 0:00,280,264,,4025,82,6,8,,,11,,,22,,,,,11,13
12/14/2019 0:00,232,209,,1772,27,0,0,,,14,,,8,,,,,16,6
12/15/2019 0:00,130,123,,1079,26,0,2,,,12,,,12,,,,,16,8
12/16/2019 0:00,82,82,,1178,12,0,1,,,3,,,1,,,,,2,7
12/17/2019 0:00,123,108,,2529,6,1,0,,,2,,,8,,,,,1,9
12/18/2019 0:00,91,88,,4254,14,2,178,,,4,,,6,,,,,0,8
12/19/2019 0:00,161,134,,4383,18,949,0,,,7,,,6,,,,,6,3
12/20/2019 0:00,185,156,,4131,35,0,0,,,5,,,8,,,,,2,15
12/21/2019 0:00,343,290,,3843,96,120,4,,,11,,,28,,,,,34,7
12/22/2019 0:00,500,432,,3475,138,86,3,,,22,,,45,,,,,72,20
12/23/2019 0:00,407,439,,4456,134,665,5,,,20,,,38,,,,,66,2
12/24/2019 0:00,431,498,,3290,131,16,8,,,43,,,41,,,,,87,12
12/25/2019 0:00,491,528,,1703,164,35,2,,,32,,,54,,,,,125,8
12/26/2019 0:00,696,727,,2739,262,1503,24,,,37,,,69,,,,,98,8
12/27/2019 0:00,308,258,,2272,56,2,102,,,19,,,45,,,,,41,12
12/28/2019 0:00,354,370,,1318,91,0,7,,,13,,,39,,,,,22,4
12/29/2019 0:00,418,397,,971,104,9,2,,,20,,,37,,,,,37,7
12/30/2019 0:00,126,119,,1607,17,1,0,,,4,,,17,,,,,9,1
12/31/2019 0:00,153,145,,1831,21,1,2,,,1,,,14,,,,,7,4
1/1/2020 0:00,417,411,,2129,80,2,1,,,22,,,37,,,,,22,7
1/2/2020 0:00,325,306,,2965,77,6,2,,,29,,,29,,,,,30,11
1/3/2020 0:00,232,213,,1609,32,0,0,,,9,,,20,,,,,12,5
1/4/2020 0:00,214,143,,1076,19,2,0,,,8,,,12,,,,,5,6
1/5/2020 0:00,349,373,,2222,58,7,0,,,21,,,24,,,,,42,7
1/6/2020 0:00,225,224,,3087,42,2,1,,,10,,,21,,,,,19,6
1/7/2020 0:00,280,265,,3750,62,4,14,,,16,,,20,,,,,12,13
1/8/2020 0:00,227,194,,3368,34,2,40,,,3,,,14,,,,,5,8
1/9/2020 0:00,184,205,,2011,25,2,1,,,8,,,5,,,,,11,10
1/10/2020 0:00,296,231,,745,39,3,2,,,3,,,20,,,,,6,16
1/11/2020 0:00,160,102,,331,16,0,3,,,3,,,4,,,,,8,4
1/12/2020 0:00,166,115,,654,12,0,1,,,0,,,6,,,,,46,6
1/13/2020 0:00,259,215,,1709,33,2,1,,,10,,,17,,,,,27,10
1/14/2020 0:00,379,310,,2767,72,463,1,,,23,,,27,,,,,516,26
1/15/2020 0:00,279,240,,1292,257,1,0,,,5,,,11,,,,,284,16
1/16/2020 0:00,181,153,,3019,110,2,1,,,9,,,21,,,,,1004,12
1/17/2020 0:00,149,103,,1646,92,0,0,,,2,,,8,,,,,12,4
1/18/2020 0:00,95,82,,367,80,0,1,,,1,,,8,,,,,165,7
1/19/2020 0:00,69,48,,899,33,1,1,,,0,,,5,,,,,757,2
1/20/2020 0:00,119,97,,1553,76,0,0,,,3,,,5,,,,,528,11
1/21/2020 0:00,206,190,,2986,106,216,0,,,5,,,7,,,,,163,8
1/22/2020 0:00,236,189,,2418,178,0,3,,,2,,,12,,,,,172,14
1/23/2020 0:00,162,126,,153,92,3,1,,,116,,,8,,,,,645,7
1/24/2020 0:00,137,85,,1247,86,4,0,,,,,,9,,,,,182,5
1/25/2020 0:00,23,227,,1103,138,0,0,,,5,,,10,,,,,91,4
1/26/2020 0:00,268,228,,2209,199,302,0,,,43,,,7,,,,,450,2
1/27/2020 0:00,232,176,,1626,137,0,1,,,1,,,9,,,,,893,12
1/28/2020 0:00,250,221,,1789,161,4,0,,,6,,,9,,,,,204,13
1/29/2020 0:00,174,213,,1744,124,0,0,,,3,,,7,,,,,129,22
1/30/2020 0:00,292,219,,1951,157,3,1,,,7,,,10,,,,,157,14
1/31/2020 0:00,266,226,,2007,188,0,5,,,8,,,14,,,,,105,11
2/1/2020 0:00,357,535,,1448,260,2,2,,,10,,,12,,,,,154,6
2/2/2020 0:00,929,999,,2795,758,563,19,,,35,,,93,,,,,69,15
2/3/2020 0:00,624,592,,3329,410,23,9,,,20,,,44,,,,,211,27
2/4/2020 0:00,239,234,,1456,148,0,1,,,5,,,10,,,,,112,14
2/5/2020 0:00,168,123,,1104,77,0,1,,,5,,,6,,,,,567,10
2/6/2020 0:00,171,97,,1188,40,19,15,,,3,,,6,,,,,440,22
2/7/2020 0:00,289,172,,3804,145,1959,84,,,6,,,7,,,,,133,7
2/8/2020 0:00,289,370,,1991,201,2,0,,,6,,,5,,,,,134,14
2/9/2020 0:00,161,127,,411,102,0,0,,,0,,,5,,,,,641,5
2/10/2020 0:00,238,250,,1509,118,2,0,,,6,,,16,,,,,967,8
2/11/2020 0:00,286,265,,3102,209,3,0,,,11,,,17,,,,,839,23
2/12/2020 0:00,177,147,,1297,91,0,0,,,2,,,14,,,,,799,12
2/13/2020 0:00,91,44,,1419,64,0,2,,,2,,,8,,,,,783,4
2/14/2020 0:00,57,36,,3533,38,172,3,,,0,,,13,,,,,840,2
2/15/2020 0:00,183,134,,2347,152,0,0,,,2,,,4,,,,,483,7
2/16/2020 0:00,368,327,,3010,315,59,19,,,2,,,27,,,,,694,11
2/17/2020 0:00,165,121,,839,91,0,1,,,626,,,5,,,,,854,12
2/18/2020 0:00,311,268,,2546,216,3,2,,,7,,,15,,,,,1121,16
2/19/2020 0:00,228,193,,3076,143,294,1,,,6,,,19,,,,,886,13
2/20/2020 0:00,187,155,,3044,110,265,2,,,4,,,5,,,,,1044,12
2/21/2020 0:00,227,252,,3958,139,3558,5,,,2,,,10,,,,,593,4
2/22/2020 0:00,651,714,,3513,510,1199,8,,,25,,,41,,,,,87,14
2/23/2020 0:00,1009,1091,,3158,773,4226,15,,,48,,,111,,,,,154,16
2/24/2020 0:00,131,126,,654,116,0,1,,,0,,,8,,,,,67,10
2/25/2020 0:00,113,106,,620,63,0,0,,,1,,,4,,,,,111,13
2/26/2020 0:00,124,80,,1028,62,0,0,,,4,,,3,,,,,62,23
2/27/2020 0:00,232,167,,3412,142,235,0,,,1,,,22,,,,,97,8
2/28/2020 0:00,174,229,,2038,112,0,0,,,3,,,10,,,,,87,5
2/29/2020 0:00,409,559,,3886,400,644,1,,,21,,,9,,,,,94,6
3/1/2020 0:00,1257,1378,,3619,925,147,17,,,46,,,83,,,,,85,46
3/2/2020 0:00,474,457,,2886,297,10,3,,,14,,,33,,,,,43,21
3/3/2020 0:00,547,536,,3707,323,28,0,,,15,,,21,,,,,121,15
3/4/2020 0:00,541,503,,4120,333,13,3,,,19,,,36,,,,,45,17
3/5/2020 0:00,516,397,,3518,347,3,0,,,8,,,21,,,,,56,20
3/6/2020 0:00,282,214,,2931,202,10,0,,,18,,,24,,,,,42,13
3/7/2020 0:00,687,714,,3399,586,17,7,,,17,,,58,,,,,53,10
3/8/2020 0:00,977,1002,,2908,836,15,4,,,48,,,57,,,,,46,9
